"status","coordinate_basis","floor","equipment_category","label","drawing_x","drawing_y","confidence","location_count","source_count","nearby_name","display_label","nearby_name_distance","nearby_name_layer","nearby_name_handle"
"confirmed","XR-PLAN","1F","BAT","BAT","333372.3200690831","-316965.0038547536","0.82","1","1","CRB-1-3","BAT / CRB-1-3","341.6","------00 Switch Gear_Number","8D0BFA"
"confirmed","XR-PLAN","1F","BAT","BAT","333372.320711565","-316965.0038547536","0.82","1","1","CRB-1-3","BAT / CRB-1-3","341.6","------00 Switch Gear_Number","8D0BFA"
"confirmed","XR-PLAN","1F","BAT","BAT","335022.3200690831","-316965.0038547536","0.82","1","1","OM-1","BAT / OM-1","310.5","------00 Switch Gear_Number","8D0B6B"
"confirmed","XR-PLAN","1F","BAT","BAT","335022.320711565","-316965.0038547536","0.82","1","1","OM-1","BAT / OM-1","310.5","------00 Switch Gear_Number","8D0B6B"
"confirmed","XR-PLAN","1F","BAT","BAT","333372.3200690831","-313315.0038547536","0.82","1","1","CRB-1-2","BAT / CRB-1-2","341.6","------00 Switch Gear_Number","8D0BF7"
"confirmed","XR-PLAN","1F","BAT","BAT","333372.320711565","-313315.0038547536","0.82","1","1","CRB-1-2","BAT / CRB-1-2","341.6","------00 Switch Gear_Number","8D0BF7"
"confirmed","XR-PLAN","1F","BAT","BAT","335022.3200690831","-313315.0038547536","0.82","1","1","OF-1","BAT / OF-1","310.0","------00 Switch Gear_Number","8D0BFD"
"confirmed","XR-PLAN","1F","BAT","BAT","335022.320711565","-313315.0038547536","0.82","1","1","OF-1","BAT / OF-1","310.0","------00 Switch Gear_Number","8D0BFD"
"confirmed","XR-PLAN","1F","BAT","BAT","333372.3200690831","-309665.0038547536","0.82","1","1","CRB-1-1","BAT / CRB-1-1","341.6","------00 Switch Gear_Number","8D0BF4"
"confirmed","XR-PLAN","1F","BAT","BAT","333372.320711565","-309665.0038547536","0.82","1","1","CRB-1-1","BAT / CRB-1-1","341.6","------00 Switch Gear_Number","8D0BF4"
"confirmed","XR-PLAN","1F","BAT","BAT","306372.3216500751","-299865.0006424248","0.82","1","1","C1-5","BAT / C1-5","310.0","------00 Switch Gear_Number","8D1D82"
"confirmed","XR-PLAN","1F","BAT","BAT","308022.3216500752","-299865.0006424248","0.82","1","1","C1-4","BAT / C1-4","310.0","------00 Switch Gear_Number","8D0BAE"
"confirmed","XR-PLAN","1F","BAT","BAT","306372.3216500751","-296215.0006424248","0.82","1","1","CR-1-3","BAT / CR-1-3","323.5","------00 Switch Gear_Number","8D0BB1"
"confirmed","XR-PLAN","1F","BAT","BAT","308022.3216500752","-296215.0006424248","0.82","1","1","C1-3","BAT / C1-3","310.0","------00 Switch Gear_Number","8D0B90"
"confirmed","XR-PLAN","1F","BAT","BAT","306372.3216500751","-292565.0006424248","0.82","1","1","CR-1-2","BAT / CR-1-2","323.5","------00 Switch Gear_Number","8D0BA4"
"confirmed","XR-PLAN","1F","BAT","BAT","308022.3216500752","-292565.0006424248","0.82","1","1","C1-2","BAT / C1-2","310.0","------00 Switch Gear_Number","8D0B8D"
"confirmed","XR-PLAN","1F","BAT","BAT","306372.3216500751","-288915.0006424248","0.82","1","1","CR-1-1","BAT / CR-1-1","323.5","------00 Switch Gear_Number","8D0B9A"
"confirmed","XR-PLAN","1F","BAT","BAT","308022.3216500752","-288915.0006424248","0.82","1","1","C1-1","BAT / C1-1","310.0","------00 Switch Gear_Number","8D0B8A"
"confirmed","XR-PLAN","1F","BAT","BAT","158675.8913813763","-242109.9869070953","0.82","1","1","CRB-1-3","BAT / CRB-1-3","341.6","------00 Switch Gear_Number","8C8569"
"confirmed","XR-PLAN","1F","BAT","BAT","158675.8920238582","-242109.9869070953","0.82","1","1","CRB-1-3","BAT / CRB-1-3","341.6","------00 Switch Gear_Number","8C8569"
"confirmed","XR-PLAN","1F","BAT","BAT","160325.8913813763","-242109.9869070953","0.82","1","1","OM-1","BAT / OM-1","310.5","------00 Switch Gear_Number","8C8604"
"confirmed","XR-PLAN","1F","BAT","BAT","160325.8920238582","-242109.9869070953","0.82","1","1","OM-1","BAT / OM-1","310.5","------00 Switch Gear_Number","8C8604"
"confirmed","XR-PLAN","1F","BAT","BAT","158675.8913813763","-238459.9869070953","0.82","1","1","CRB-1-2","BAT / CRB-1-2","341.6","------00 Switch Gear_Number","8C8566"
"confirmed","XR-PLAN","1F","BAT","BAT","158675.8920238582","-238459.9869070953","0.82","1","1","CRB-1-2","BAT / CRB-1-2","341.6","------00 Switch Gear_Number","8C8566"
"confirmed","XR-PLAN","1F","BAT","BAT","160325.8913813763","-238459.9869070953","0.82","1","1","OF-1","BAT / OF-1","310.0","------00 Switch Gear_Number","8C856C"
"confirmed","XR-PLAN","1F","BAT","BAT","160325.8920238582","-238459.9869070953","0.82","1","1","OF-1","BAT / OF-1","310.0","------00 Switch Gear_Number","8C856C"
