"status","coordinate_basis","floor","equipment_category","label","drawing_x","drawing_y","confidence","location_count","evidence_row_count","evidence_drawing_count","source_count","source_drawing_count","source_drawings","source_paths","entity_types","layers","block_names","texts","handles","floor_bbox_ids","nearby_name","display_label","nearby_name_distance","nearby_name_layer","nearby_name_handle"
"confirmed","XR-PLAN","1F","BAT","BAT","308022.3216500752","-299865.0006424248","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D0BAD | 8D0DF9","detail1_right","C1-4","BAT / C1-4","310.0","------00 Switch Gear_Number","8D0BAE"
"confirmed","XR-PLAN","1F","BAT","BAT","306372.3216500751","-296215.0006424248","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D0BB0 | 8D0DFC","detail1_right","CR-1-3","BAT / CR-1-3","323.5","------00 Switch Gear_Number","8D0BB1"
"confirmed","XR-PLAN","1F","BAT","BAT","308022.3216500752","-296215.0006424248","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D0B8F | 8D0DDB","detail1_right","C1-3","BAT / C1-3","310.0","------00 Switch Gear_Number","8D0B90"
"confirmed","XR-PLAN","1F","BAT","BAT","306372.3216500751","-292565.0006424248","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D0BA3 | 8D0DEF","detail1_right","CR-1-2","BAT / CR-1-2","323.5","------00 Switch Gear_Number","8D0BA4"
"confirmed","XR-PLAN","1F","BAT","BAT","308022.3216500752","-292565.0006424248","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D0B8C | 8D0DD8","detail1_right","C1-2","BAT / C1-2","310.0","------00 Switch Gear_Number","8D0B8D"
"confirmed","XR-PLAN","1F","BAT","BAT","306372.3216500751","-288915.0006424248","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D0B99 | 8D0DE5","detail1_right","CR-1-1","BAT / CR-1-1","323.5","------00 Switch Gear_Number","8D0B9A"
"confirmed","XR-PLAN","1F","BAT","BAT","308022.3216500752","-288915.0006424248","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8D0B89 | 8D0DD5","detail1_right","C1-1","BAT / C1-1","310.0","------00 Switch Gear_Number","8D0B8A"
"confirmed","XR-PLAN","1F","BAT","BAT","158675.8913813763","-242109.9869070953","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8B225E | 8C8568","detail1_left | full","CRB-1-3","BAT / CRB-1-3","341.6","------00 Switch Gear_Number","8C8569"
"confirmed","XR-PLAN","1F","BAT","BAT","158675.8920238582","-242109.9869070953","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8C85FD","detail1_left | full","CRB-1-3","BAT / CRB-1-3","341.6","------00 Switch Gear_Number","8C8569"
"confirmed","XR-PLAN","1F","BAT","BAT","160325.8913813763","-242109.9869070953","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8B2264 | 8C856E","detail1_left | full","OM-1","BAT / OM-1","310.5","------00 Switch Gear_Number","8C8604"
"confirmed","XR-PLAN","1F","BAT","BAT","160325.8920238582","-242109.9869070953","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8C8603","detail1_left | full","OM-1","BAT / OM-1","310.5","------00 Switch Gear_Number","8C8604"
"confirmed","XR-PLAN","1F","BAT","BAT","158675.8913813763","-238459.9869070953","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8B225B | 8C8565","detail1_left | full","CRB-1-2","BAT / CRB-1-2","341.6","------00 Switch Gear_Number","8C8566"
"confirmed","XR-PLAN","1F","BAT","BAT","158675.8920238582","-238459.9869070953","0.82","1","1","1","1","1","E-C14_전기실 장비배치도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8C85FA","detail1_left | full","CRB-1-2","BAT / CRB-1-2","341.6","------00 Switch Gear_Number","8C8566"
"confirmed","XR-PLAN","1F","BAT","BAT","160325.8913813763","-238459.9869070953","0.82","1","2","2","1","2","E-C14_전기실 장비배치도.dxf | E-T73_EPMS 평면도.dxf","v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-C14_전기실 장비배치도.dxf | v2\data\converted\dxf\04_설계도서\02_전기\01 전기(○)\01 도면(CAD)\E-T73_EPMS 평면도.dxf","TEXT","------00 Switch Gear_Number","","BAT","8B2261 | 8C856B","detail1_left | full","OF-1","BAT / OF-1","310.0","------00 Switch Gear_Number","8C856C"
