overlay_group_id,overlay_priority,basis_name,basis_file,basis_path,floor_hint,insert_x,insert_y,xscale,yscale,rotation,is_identity_insert,drawing_count,facility_count,sample_drawings,review_note
x-plan_1_0_x-site1_0_0.000642457045615_1_1_0,C_SITE_WITH_FACILITIES,x-plan_1층$0$X-SITE1,X-SITE.dwg,\\10.1.100.27\w1_1501\W1-1501. 전남 장성 P&P 데이터센터_황선엽_14274-01-A00\02 설계진행\05) 설계변경(24.12.03~)\(03) 진행도면\XREF\X-SITE\X-SITE.dwg,1F,0,0.000642457045615,1,1,0,False,4,11,"M33-101~102 확대 냉난방덕트 평면도 (운영센터).dxf | M42-108~111 위생배관 평면도 (운영센터).dxf | M58-115~117 FDMS 평면도 (운영센터).dxf | M72-101~102 옥외 경유탱크실 평,단면도 (전산센터A).dxf",Apply inverse insert/scale/rotation before comparing with basis coordinates.
ssdx-plan_1_0_x-site1_0_0.000642457045615_1_1_0,C_SITE_WITH_FACILITIES,SSDx-plan_1층$0$X-SITE1,X-SITE.dwg,\\10.1.100.27\w1_1501\W1-1501. 전남 장성 P&P 데이터센터_황선엽_14274-01-A00\02 설계진행\05) 설계변경(24.12.03~)\(03) 진행도면\XREF\X-SITE\X-SITE.dwg,1F,0,0.000642457045615,1,1,0,False,2,10,M42-201~202 위생 확대배관 평면도 (운영센터).dxf | M43-101~102 시스템 화장실 확대 위생배관 평면도 (운영센터).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_1_-76127.3258159_-85956.9449313_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_1층,x-plan_1층.dwg,..\XREF\x-plan_1층.dwg,1F,-76127.3258159,-85956.9449313,1,1,0,False,6,381,M13-101~106 장비기초 평면도 (전산센터A).dxf | M22-101~107 공조배관 평면도 (전산센터A).dxf | M23-101~107 냉매배관 평면도 (전산센터A).dxf | M24-101~107 냉매제어 평면도 (전산센터A).dxf | M32-101~108 공조덕트 평면도 (전산센터A).dxf | M58-104~111 FDMS 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_2_-202277.325816_-85956.9449313_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_2층,x-plan_2층.dwg,..\XREF\x-plan_2층.dwg,2F,-202277.325816,-85956.9449313,1,1,0,False,5,368,M13-101~106 장비기초 평면도 (전산센터A).dxf | M22-101~107 공조배관 평면도 (전산센터A).dxf | M23-101~107 냉매배관 평면도 (전산센터A).dxf | M24-101~107 냉매제어 평면도 (전산센터A).dxf | M32-101~108 공조덕트 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_2_-76127.3258159_-85956.9449313_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_2층 중층,x-plan_2층 중층.dwg,..\XREF\x-plan_2층 중층.dwg,2F,-76127.3258159,-85956.9449313,1,1,0,False,3,345,M32-101~108 공조덕트 평면도 (전산센터A).dxf | M42-101~107 위생배관 평면도 (전산센터A).dxf | M58-104~111 FDMS 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_3_-202277.325816_-85956.9449313_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_3층,x-plan_3층.dwg,..\XREF\x-plan_3층.dwg,3F,-202277.325816,-85956.9449313,1,1,0,False,3,345,M32-101~108 공조덕트 평면도 (전산센터A).dxf | M42-101~107 위생배관 평면도 (전산센터A).dxf | M58-104~111 FDMS 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_4_-328427.325816_-85956.9449313_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_4층,x-plan_4층.dwg,..\XREF\x-plan_4층.dwg,4F,-328427.325816,-85956.9449313,1,1,0,False,3,345,M32-101~108 공조덕트 평면도 (전산센터A).dxf | M42-101~107 위생배관 평면도 (전산센터A).dxf | M58-104~111 FDMS 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_5_-454577.325816_-85956.9449313_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_5층,x-plan_5층.dwg,..\XREF\x-plan_5층.dwg,5F,-454577.325816,-85956.9449313,1,1,0,False,3,345,M32-101~108 공조덕트 평면도 (전산센터A).dxf | M42-101~107 위생배관 평면도 (전산센터A).dxf | M58-104~111 FDMS 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan_6_-580727.325816_-85956.9449313_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_6층,x-plan_6층.dwg,..\XREF\x-plan_6층.dwg,6F,-580727.325816,-85956.9449313,1,1,0,False,3,345,M32-101~108 공조덕트 평면도 (전산센터A).dxf | M42-101~107 위생배관 평면도 (전산센터A).dxf | M58-104~111 FDMS 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
x-plan__-833027.325816_-85956.9449313_1_1_0,D_FLOOR_PLAN_WITH_FACILITIES,x-plan_옥탑층,x-plan_옥탑층.dwg,..\XREF\x-plan_옥탑층.dwg,ROOF,-833027.325816,-85956.9449313,1,1,0,False,5,332,M13-101~106 장비기초 평면도 (전산센터A).dxf | M22-101~107 공조배관 평면도 (전산센터A).dxf | M23-101~107 냉매배관 평면도 (전산센터A).dxf | M24-101~107 냉매제어 평면도 (전산센터A).dxf | M42-101~107 위생배관 평면도 (전산센터A).dxf,Apply inverse insert/scale/rotation before comparing with basis coordinates.
